Date,Wind Speed,group1_windpower(kWh),group2_windpower(kWh),group3_windpower(kWh)
8-May,6.23,70517,82274,84673
9-May,6.37,80746,92733,82433
10-May,7.34,100332,110836,105416
11-May,6.05,65276,81768,82791
12-May,6.41,74378,86063,80883
13-May,5.52,66540,81412,81772
14-May,5.3,50914,64263,73335
15-May,4.79,27805,40070,52876
16-May,6.92,70238,86777,121433
17-May,4.08,33645,34933,31708
18-May,5.65,46404,62854,74246
19-May,4.55,31265,39271,31397
20-May,5.52,51931,60893,85177
21-May,6.65,71609,87403,128522
22-May,4.39,31560,38520,47462
23-May,5.12,44150,51901,80445
24-May,5.47,40394,55236,66566
25-May,5.49,45321,61812,71089
26-May,5.62,52458,67454,77185
27-May,5.74,45779,64670,65210
28-May,5.6,37071,53693,72305
29-May,4.7,33414,42694,60925
30-May,5.61,43927,59827,95823
31-May,6.99,82442,94941,135174
1-Jun,7.73,107837,117628,165285
2-Jun,7.74,100275,114662,161255
3-Jun,7.23,95304,101653,142003
4-Jun,7.86,104325,107713,163785
5-Jun,9.12,149989,145913,209607
6-Jun,8.51,136716,124906,162577
7-Jun,4.57,41106,41749,60350
8-Jun,7.19,77263,89472,138624
9-Jun,5.98,54825,73450,120523
10-Jun,4.85,31781,42398,57830
11-Jun,5.88,62113,69858,110799
12-Jun,8.06,113867,119076,170195
13-Jun,6.62,83337,89592,119659
14-Jun,7.19,85441,96253,121502
15-Jun,8.39,117784,129494,176488
16-Jun,7.7,105589,108903,149315
17-Jun,6.68,79259,83335,124739
18-Jun,8.26,107433,77112,172486
19-Jun,9.24,152926,186958,206082
20-Jun,7.46,100560,91620,144992
21-Jun,7.77,102701,94770,152295
22-Jun,6.51,62342,38143,111416
23-Jun,7.12,84483,120723,129955
24-Jun,7.24,88250,103973,105356
25-Jun,8.58,136654,141702,116010
26-Jun,7.86,118440,122183,146500
27-Jun,6.97,101570,107132,145220
28-Jun,9.11,152095,155430,200620
29-Jun,8.06,121675,127534,178220
30-Jun,9.56,176391,180357,117780
1-Jul,9.16,130747,127826,206618
